Year,Date,Time,Address,Borough,zip,Latitude,Longitude
2021,2021-01-01,11:41:00,"3021 Avenue Z, Brooklyn, NY 11235",Brooklyn,11235,40.590149,-73.935922
2021,2021-01-11,11:56:00,"245 East Houston Street, Manhattan, NY, 10002",Manhattan,10002,40.721759,-73.985428
2021,2021-01-12,10:51:00,"1720 WATSON AVENUE,BRONX,NY 10472",Bronx,10472,40.82666,-73.869176
2021,2021-01-28,0:01:00,"130-07 26th Avenue, Queens, Flushing, NY 11354",Queens,11354,40.774578,-73.83863
2021,2021-02-03,5:32:00,"226 East 57th Street, Manhattan, NY, 10022",Manhattan,10022,40.759532,-73.966245
2021,2021-02-07,1:14:00,"770 East 166th Street, Bronx, NY 10456",Bronx,10456,40.826187,-73.901996
2021,2021-02-17,21:38:00,E 163 St and 3 Ave Bronx,Bronx,10451,40.8240731,-73.9109034
2021,2021-02-28,22:37:00,"125 Post Ave, New York, NY 10034",Manhattan,10034,40.864481,-73.919863
2021,2021-03-01,20:06:00,"82-60 116th St, Queens, NY 11418",Queens,11418,40.707469,-73.836476
2021,2021-03-10,1:55:00,"225 SCHERMERHORN STREET,BROOKLYN,NY 11201",Brooklyn,11201,40.688758,-73.985117
2021,2021-03-25,3:13:00,"26-19 98 STREET,QUEENS,NY 11369",Queens,11369,40.761694,-73.871059
2021,2021-03-29,18:00:00,"37-35 90 STREET,QUEENS,NY 11372",Queens,11372,40.749495,-73.876539
2021,2021-04-01,14:39:00,"965 TINTON AVENUE,BRONX,NY 10456",Bronx,10456,40.823748,-73.903791
2021,2021-04-01,19:37:00,"370 8 AVENUE,MANHATTAN,NY 10001",Manhattan,10001,40.748705,-73.995784
2021,2021-04-13,14:34:00,"605 FDR Dr, New York, NY 10002",Manhattan,10002,40.743759,-73.971629
2021,2021-04-19,15:39:00,"46-55 METROPOLITAN AVENUE,QUEENS,NY 11385",Queens,11385,40.713982,-73.921707
2021,2021-04-24,13:53:00,"326 Van Brunt St, Brooklyn, NY 11231",Brooklyn,11231,40.67881,-74.011378
2021,2021-04-26,0:36:00,"640 Bay Ridge Ave, Brooklyn, NY 11220",Brooklyn,11220,40.631664,-74.0196768
2021,2021-05-05,4:51:00,"3211 Park Ave, Bronx, NY 10451",Bronx,10451,40.825441,-73.91631
2021,2021-05-06,23:09:00,"303 EAST  135 STREET,BRONX,NY 10454",Bronx,10454,40.808935,-73.927368
2021,2021-05-07,18:35:00,"91 EAST3 STREET,MANHATTAN,NY 10003",Manhattan,10003,40.724814,-73.987789
2021,2021-05-08,16:21:00,"30 LENOX AVENUE,MANHATTAN,NY 10026",Manhattan,10026,40.799213,-73.951399
2021,2021-05-10,4:47:00,"41-02 BROADWAY,QUEENS,NY 11103",Queens,11103,40.7584088,-73.9202677
2021,2021-05-18,4:49:00,W 144 ST and LENOX AVE Manhattan,Manhattan,10037,40.8197493,-73.9388534
2021,2021-06-15,2:50:00,"1508 EAST  172 STREET,BRONX,NY 10472",Bronx,10472,40.830939,-73.880255
2021,2021-06-20,20:23:00,"144-12 181st Pl, Jamaica, NY 11413",Queens,11413,40.667517,-73.762823
2021,2021-06-21,7:23:00,"65-50 162 STREET,QUEENS,NY 11365",Queens,11365,40.735244,-73.806878
2021,2021-06-24,10:03:00,"2500 ARTHUR AVENUE,BRONX,NY 10458",Bronx,10458,40.857932,-73.885372
2021,2021-06-27,20:14:00,"383 PULASKI STREET,BROOKLYN,NY 11206",Brooklyn,11206,40.694342,-73.935175
2021,2021-07-02,4:42:00,"551 WEST  175 STREET,MANHATTAN,NY 10033",Manhattan,10033,40.845097,-73.935349
2021,2021-07-03,3:34:00,"2820 BRONX PARK EAST,BRONX,NY 10467",Bronx,10467,40.867625,-73.870326
2021,2021-07-09,21:43:00,W 126 St. and Morningside Ave. Manhattan,Manhattan,10027,40.812051,-73.953544
2021,2021-07-15,6:34:00,"501 WEST  110 STREET,MANHATTAN,NY 10025",Manhattan,10025,40.803043,-73.964387
2021,2021-07-19,20:07:00,"68-22 NORTHERN BOULEVARD,QUEENS,NY 11377",Queens,11377,40.754038,-73.897746
2021,2021-07-22,20:47:00,"6612 13 AVENUE,BROOKLYN,NY 11219",Brooklyn,11219,40.625183,-74.002564
2021,2021-07-23,17:50:00,"80 BARUCH DRIVE,MANHATTAN,NY 10002",Manhattan,10002,40.717768,-73.977356
2021,2021-07-24,7:04:00,"131 Belmont Ave, Brooklyn, NY 11212",Brooklyn,11212,40.669518,-73.905438
2021,2021-07-24,8:12:00,"707 EAST  242 STREET,BRONX,NY 10470",Bronx,10470,40.905758,-73.849098
2021,2021-07-24,18:52:00,"371 7 AVENUE,MANHATTAN,NY 10001",Manhattan,10001,40.748839,-73.99197
2021,2021-07-30,11:18:00,"1260 WEBSTER AVENUE,BRONX,NY 10456",Bronx,10456,40.83296,-73.908519
2021,2021-08-04,7:44:00,"56 FORT WASHINGTON AVENUE,MANHATTAN,NY 10032",Manhattan,10032,40.837237,-73.944065
2021,2021-08-07,7:30:00,"227 SOUTH2 STREET,BROOKLYN,NY 11211",Brooklyn,11211,40.712597,-73.953098
2021,2021-08-12,7:16:00,"1769 LACOMBE AVENUE,BRONX,NY 10473",Bronx,10473,40.8149,-73.863803
2021,2021-08-18,9:05:00,"117 Westchester Square, Bronx, NY 10461",Bronx,10461,40.840402,-73.841595
2021,2021-08-21,10:07:00,"959 55 STREET,BROOKLYN,NY 11219",Brooklyn,11219,40.636184,-74.002834
2021,2021-08-25,2:58:00,"518 E 29th St, Brooklyn, NY 11210",Brooklyn,11210,40.638089,-73.949351
2021,2021-08-26,5:35:00,"1198 SHERIDAN AVENUE,BRONX,NY 10456",Bronx,10456,40.833839,-73.916862
2021,2021-08-26,7:55:00,"151 WEST  140 STREET,MANHATTAN,NY 10030",Manhattan,10030,40.818004,-73.940011
2021,2021-08-31,3:12:00,"37-37 100 STREET,QUEENS,NY 11368",Queens,11368,40.751613,-73.866578
2021,2021-08-31,3:49:00,157 st. and 109 Ave. Queens,Queens,11433,40.693177,-73.794343
2021,2021-08-31,16:11:00,"435 W 31st St, New York, NY 10001",Manhattan,10001,40.752156,-73.998906
2021,2021-09-01,2:00:00,"81-19 102 ROAD,QUEENS,NY 11416",Queens,11416,40.679883,-73.856595
