f_date,f_time,addr,zip,boro,lat,long
2021-01-01,11:41:00,3021 Avenue Z,11235,Brooklyn,40.590149,-73.935922
2021-01-11,11:56:00,245 East Houston Street,10002,Manhattan,40.721759,-73.985428
2021-01-12,10:51:00,1720 WATSON AVENUE,10472,Bronx,40.82666,-73.869176
2021-01-28,0:01:00,130-07 26th Avenue,11354,Queens,40.774578,-73.83863
2021-02-03,5:32:00,226 East 57th Street,10022,Manhattan,40.759532,-73.966245
2021-02-07,1:14:00,770 East 166th Street,10456,Bronx,40.826187,-73.901996
2021-02-17,21:38:00,E 163 St and 3 Ave,10451,Bronx,40.8240731,-73.9109034
2021-02-28,22:37:00,"125 Post Ave,",10034,Manhattan,40.864481,-73.919863
2021-03-01,20:06:00,82-60 116th St,11418,Queens,40.707469,-73.836476
2021-03-10,1:55:00,225 SCHERMERHORN STREET,11201,Brooklyn,40.688758,-73.985117
2021-03-25,3:13:00,26-19 98 STREET,11369,Queens,40.761694,-73.871059
2021-03-29,18:00:00,37-35 90 STREET,11372,Queens,40.749495,-73.876539
2021-04-01,14:39:00,965 TINTON AVENUE,10456,Bronx,40.823748,-73.903791
2021-04-01,19:37:00,370 8 AVENUE,10001,Manhattan,40.748705,-73.995784
2021-04-13,14:34:00,605 FDR Dr,10002,Manhattan,40.743759,-73.971629
2021-04-19,15:39:00,46-55 METROPOLITAN AVENUE,11385,Queens,40.713982,-73.921707
2021-04-24,13:53:00,326 Van Brunt St,11231,Brooklyn,40.67881,-74.011378
2021-04-26,0:36:00,640 Bay Ridge Ave,11220,Brooklyn,40.631664,-74.0196768
2021-05-05,4:51:00,3211 Park Ave,10451,Bronx,40.825441,-73.91631
2021-05-06,23:09:00,303 EAST  135 STREET,10454,Bronx,40.808935,-73.927368
2021-05-07,18:35:00,91 EAST3 STREET,10003,Manhattan,40.724814,-73.987789
2021-05-08,16:21:00,30 LENOX AVENUE,10026,Manhattan,40.799213,-73.951399
2021-05-10,4:47:00,41-02 BROADWAY,11103,Queens,40.7584088,-73.9202677
2021-05-18,4:49:00,W 144 ST and LENOX AVE,10037,Manhattan,40.8197493,-73.9388534
2021-06-15,2:50:00,1508 EAST  172 STREET,10472,Bronx,40.830939,-73.880255
2021-06-20,20:23:00,144-12 181st Pl,11413,Queens,40.667517,-73.762823
2021-06-21,7:23:00,65-50 162 STREET,11365,Queens,40.735244,-73.806878
2021-06-24,10:03:00,2500 ARTHUR AVENUE,10458,Bronx,40.857932,-73.885372
2021-06-27,20:14:00,383 PULASKI STREET,11206,Brooklyn,40.694342,-73.935175
2021-07-02,4:42:00,551 WEST  175 STREET,10033,Manhattan,40.845097,-73.935349
2021-07-03,3:34:00,2820 BRONX PARK EAST,10467,Bronx,40.867625,-73.870326
2021-07-09,21:43:00,W 126 St. and Morningside Ave.,10027,Manhattan,40.812051,-73.953544
2021-07-15,6:34:00,501 WEST  110 STREET,10025,Manhattan,40.803043,-73.964387
2021-07-19,20:07:00,68-22 NORTHERN BOULEVARD,11377,Queens,40.754038,-73.897746
2021-07-22,20:47:00,6612 13 AVENUE,11219,Brooklyn,40.625183,-74.002564
2021-07-23,17:50:00,80 BARUCH DRIVE,10002,Manhattan,40.717768,-73.977356
2021-07-24,7:04:00,131 Belmont Ave,11212,Brooklyn,40.669518,-73.905438
2021-07-24,8:12:00,707 EAST  242 STREET,10470,Bronx,40.905758,-73.849098
2021-07-24,18:52:00,371 7 AVENUE,10001,Manhattan,40.748839,-73.99197
2021-07-30,11:18:00,1260 WEBSTER AVENUE,10456,Bronx,40.83296,-73.908519
2021-08-04,7:44:00,56 FORT WASHINGTON AVENUE,10032,Manhattan,40.837237,-73.944065
2021-08-07,7:30:00,227 SOUTH2 STREET,11211,Brooklyn,40.712597,-73.953098
2021-08-12,7:16:00,1769 LACOMBE AVENUE,10473,Bronx,40.8149,-73.863803
2021-08-18,9:05:00,117 Westchester Square,10461,Bronx,40.840402,-73.841595
2021-08-21,10:07:00,959 55 STREET,11219,Brooklyn,40.636184,-74.002834
2021-08-25,2:58:00,518 E 29th St,11210,Brooklyn,40.638089,-73.949351
2021-08-26,5:35:00,1198 SHERIDAN AVENUE,10456,Bronx,40.833839,-73.916862
2021-08-26,7:55:00,151 WEST  140 STREET,10030,Manhattan,40.818004,-73.940011
2021-08-31,3:12:00,37-37 100 STREET,11368,Queens,40.751613,-73.866578
2021-08-31,3:49:00,157 st. and 109 Ave. Queens,11433,Queens,40.693177,-73.794343
2021-08-31,16:11:00,435 W 31st St,10001,Manhattan,40.752156,-73.998906
2021-09-01,2:00:00,81-19 102 ROAD,11416,Queens,40.679883,-73.856595
2021-09-01,11:00:00,135-17 COOLIDGE AVENUE,11435,Queens,40.715436,-73.822564
2021-09-02,10:54:00,40-23 60 STREET,11377,Queens,40.744358,-73.904291
2021-09-03,18:08:00,Hylan Blvd and Cornelia Ave Staten Island,10312,Staten Island,40.522572,-74.190004
2021-09-03,19:58:00,55-15 98th St,11368,Queens,40.738721,-73.862409
2021-09-04,5:55:00,70-06 31st Ave,11370,Queens,40.757917,-73.896817
2021-09-05,22:08:00,48-20 VERNON BOULEVARD,11101,Queens,40.743554,-73.953979
2021-09-06,10:08:00,45 WESTCHESTER SQUARE,10461,Bronx,40.842208,-73.843816
2021-09-07,3:24:00,East 185 and Southern Boulevard,10460,Bronx,40.852564,-73.883281
2021-09-10,20:31:00,946 SOUTHERN BOULEVARD,10459,Bronx,40.821681,-73.891478
2021-09-14,0:08:00,3150 BROADWAY,10027,Manhattan,40.813902,-73.95885
2021-09-16,11:25:00,756 EAST  175 STREET,10457,Bronx,40.841793,-73.891871
2021-09-22,21:31:00,1141 FDR DRIVE WEST,10009,Manhattan,40.724064,-73.973448
2021-09-23,0:03:00,3075 HEATH AVENUE,10463,Bronx,40.877843,-73.901648
2021-09-25,21:08:00,70-35 66 STREET,11385,Queens,40.703224,-73.888968
2021-09-27,9:06:00,42-29 164th St,11358,Queens,40.759051,-73.802097
2021-09-29,10:27:00,888 PARK AVENUE,11206,Brooklyn,40.698466,-73.93948
2021-10-04,23:32:00,94-10 209 STREET,11428,Queens,40.71546,-73.752153
2021-10-09,21:11:00,494 GEORGIA AVENUE,11207,Brooklyn,40.664228,-73.895979
2021-10-12,2:44:00,758 HART STREET,11237,Brooklyn,40.700375,-73.923915
2021-10-12,3:50:00,43-42 37th St,11101,Queens,40.744714,-73.928001
2021-10-12,22:09:00,215 EAST  164 STREET,10456,Bronx,40.829339,-73.918796
2021-10-15,7:00:00,967 Kelly St,10459,Bronx,40.821809,-73.896106
2021-10-19,22:21:00,428 5 AVENUE,11215,Brooklyn,40.669712,-73.986043
2021-10-21,8:47:00,156 st and 33 ave,11354,Queens,40.768403,-73.808546
2021-10-28,18:58:00,128 MILLER AVENUE,11207,Brooklyn,40.67826,-73.892832
2021-10-31,20:02:00,1168 STRATFORD AVENUE,10472,Bronx,40.828777,-73.875272
2021-11-06,12:32:00,63rd avenue and 108 st,11375,Queens,40.734984,-73.850656
2021-11-07,7:30:00,340 WILLIS AVENUE,10454,Bronx,40.811227,-73.921115
2021-11-11,9:30:00,869 45 STREET,11220,Brooklyn,40.642921,-73.998944
2021-11-12,6:00:00,63 Ave and 108 St,11375,Queens,40.734984,-73.850656
2021-11-19,23:21:00,2448 MATTHEWS AVENUE,10467,Bronx,40.86268,-73.862491
